Timestamp,What is your email?,In which country do you currently reside?,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis? (Select all that apply)",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding],Email Address
6/4/2020 18:12:55,xbenadetteat@cyberchimps.com,Finland,Data Analyst,none,competent,beginner,beginner,competent,competent,proficient,none,competent,proficient,beginner,2,Database C,Platform D,Platform B;Platform C,Platform A;Platform B;Platform C,Platform A;Platform D;Platform C,Platform D,Platform B,xbenadetteat@cyberchimps.com
8/13/2020 11:21:08,bbehningau@geocities.com,Indonesia,Citizen Data Scientist,none,beginner,none,proficient,none,expert,competent,beginner,beginner,competent,expert,3,Database C,Platform A,Platform A,Platform A,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,Platform D,bbehningau@geocities.com
2/22/2020 19:54:21,ccruttendenaz@sciencedaily.com,Indonesia,Citizen Data Scientist,beginner,competent,beginner,proficient,competent,beginner,expert,expert,competent,proficient,proficient,5,Database C,Platform C,Platform C,Platform B,Platform A,Platform A;Platform D;Platform C,Platform A,ccruttendenaz@sciencedaily.com
11/14/2020 2:41:17,hmansfordb3@themeforest.net,China,Data Analyst,competent,proficient,none,expert,proficient,competent,none,proficient,none,expert,proficient,4,Database E,Platform A,Platform C,Platform B Platform C,Platform B,Platform A,Platform D;Platform B,hmansfordb3@themeforest.net
5/1/2020 13:07:29,ghawleyb5@slideshare.net,Mexico,Data Analyst,expert,expert,proficient,proficient,competent,competent,proficient,expert,none,competent,expert,5,Database B;Database E,Platform B,Platform A,Platform B Platform C,Platform B,Platform B,Platform A,ghawleyb5@slideshare.net
7/9/2020 10:05:10,rknightlyb6@discuz.net,Sweden,Software Engineer,competent,beginner,proficient,none,beginner,expert,competent,proficient,none,none,beginner,1,Database B;Database A;Database D,Platform C,Platform A;Platform B,Platform B,Platform A,Platform A,Platform D,rknightlyb6@discuz.net
1/19/2020 10:21:49,bmumbybd@clickbank.net,Laos,Data Analyst,competent,competent,expert,none,competent,proficient,expert,proficient,beginner,beginner,none,5,Database B;Database E,Platform D,Platform A;Platform B,Platform B,Platform A,Platform D,Platform A,bmumbybd@clickbank.net
12/1/2020 3:49:40,tstephensbi@google.nl,Argentina,Data Analyst,expert,proficient,competent,proficient,expert,expert,competent,beginner,beginner,none,proficient,4,Database C,Platform A,Platform A;Platform B;Platform C,Platform C,Platform D;Platform C,Platform B;Platform C,Platform A;Platform D;Platform C,tstephensbi@google.nl
5/26/2020 9:12:26,jgravenerbk@buzzfeed.com,China,Data Engineer,proficient,competent,competent,beginner,none,expert,beginner,beginner,competent,expert,beginner,3,Database A,Platform D,Platform C,Platform C,Platform A,Platform D;Platform B,Platform C,jgravenerbk@buzzfeed.com
9/11/2020 8:47:32,hteidemanbt@psu.edu,China,Citizen Data Scientist,competent,competent,expert,proficient,beginner,none,expert,beginner,beginner,competent,expert,3,Database B;Database A;Database D,Platform B,Platform C,Platform C,Platform C,Platform D,Platform A,hteidemanbt@psu.edu
1/17/2020 5:02:56,msaiensbw@blogger.com,Peru,Software Engineer,beginner,proficient,beginner,none,proficient,none,expert,competent,expert,none,none,4,Database B,Platform C,Platform A;Platform B;Platform C,Platform B,Platform D,Platform B;Platform C,"Platform A;Platform D,Platform B",msaiensbw@blogger.com
11/13/2020 15:09:42,cluceyc4@over-blog.com,Jamaica,Data Engineer,beginner,proficient,competent,proficient,none,none,none,beginner,competent,beginner,beginner,1,Database B;Database A;Database D,Platform A,Platform B,Platform A;Platform B,Platform C,Platform A,Platform A;Platform D;Platform C,cluceyc4@over-blog.com
7/30/2020 4:00:38,fsprottc7@ifeng.com,Honduras,Citizen Data Scientist,proficient,competent,expert,proficient,none,beginner,expert,competent,beginner,none,none,1,Database E,Platform B,Platform A;Platform C,Platform B Platform C,Platform A,Platform A;Platform B;Platform C,Platform B,fsprottc7@ifeng.com
7/15/2020 6:35:29,ederingtoncd@taobao.com,Honduras,Citizen Data Scientist,none,proficient,proficient,expert,none,none,competent,expert,competent,beginner,proficient,5,Database C,Platform C,Platform B,Platform A,Platform B;Platform C,Platform D;Platform C,Platform D;Platform B,ederingtoncd@taobao.com
4/7/2020 0:10:24,claterzack@1und1.de,Russia,Data Analyst,expert,competent,proficient,expert,proficient,none,none,competent,competent,competent,beginner,5,Database C,Platform B,Platform A;Platform C,Platform B,Platform D;Platform C,Platform A;Platform B;Platform C,Platform D,claterzack@1und1.de
11/15/2020 19:47:29,bquilliamcm@huffingtonpost.com,Russia,Data Scientist,competent,none,proficient,beginner,expert,beginner,competent,none,beginner,beginner,competent,1,Database E,Platform A,Platform A;Platform C,Platform B,Platform B;Platform C,Platform D;Platform B,Platform B;Platform C,bquilliamcm@huffingtonpost.com
10/28/2020 4:38:12,elinnittcn@cocolog-nifty.com,Netherlands,Software Engineer,competent,expert,expert,none,expert,competent,none,expert,expert,competent,expert,5,Database B;Database A;Database D,Platform C,Platform A;Platform B,Platform A;Platform B;Platform C,Platform A,Platform D;Platform B,Platform B;Platform C,elinnittcn@cocolog-nifty.com
8/19/2020 16:57:39,lkuliscv@elegantthemes.com,Burkina Faso,Data Scientist,proficient,competent,proficient,proficient,none,beginner,competent,none,expert,competent,beginner,2,Database C,Platform C,Platform A;Platform C,Platform A,Platform C,Platform B;Platform C,Platform B;Platform C,lkuliscv@elegantthemes.com
12/3/2020 4:08:11,lbenwellcw@statcounter.com,Sweden,Data Engineer,,proficient,expert,,expert,proficient,competent,beginner,,proficient,proficient,,Database C,Platform B,Platform A;Platform C,,Platform A,,Platform A;Platform B;Platform C,lbenwellcw@statcounter.com
7/7/2020 0:36:47,rcatterilld1@plala.or.jp,Indonesia,Data Scientist,expert,competent,competent,competent,expert,beginner,competent,proficient,none,proficient,beginner,2,Database E,Platform B,Platform B;Platform C,Platform A;Platform B;Platform C,Platform D;Platform B,Platform A;Platform B;Platform C,Platform D;Platform B,rcatterilld1@plala.or.jp
7/12/2020 17:03:25,ksafhilldh@loc.gov,China,Data Analyst,expert,beginner,expert,competent,beginner,none,expert,competent,proficient,expert,competent,5,Database C,Platform A,Platform A;Platform C,Platform C,Platform D;Platform B,Platform C,Platform D;Platform C,ksafhilldh@loc.gov
9/24/2020 4:25:47,kmatiewedj@furl.net,France,Product/Project Manager,none,none,none,beginner,beginner,proficient,proficient,expert,beginner,beginner,expert,1,Database C,Platform B,Platform A,Platform A;Platform B,Platform D,Platform D;Platform B,Platform C,kmatiewedj@furl.net
6/20/2020 17:18:20,creidiedt@phoca.cz,Portugal,Data Analyst,none,competent,competent,none,expert,beginner,none,competent,none,competent,proficient,2,Database B,Platform A,Platform A;Platform B;Platform C,Platform A;Platform C,Platform A;Platform B;Platform C,Platform D,Platform D;Platform B,creidiedt@phoca.cz
2/20/2020 21:09:15,tsalatinodz@acquirethisname.com,Philippines,Citizen Data Scientist,none,expert,competent,expert,proficient,expert,proficient,expert,beginner,none,none,2,Database A,Platform A,Platform A;Platform B;Platform C,Platform B,"Platform A;Platform D,Platform B",Platform D,Platform D,tsalatinodz@acquirethisname.com
11/26/2020 4:55:43,cmandrakee1@ihg.com,Poland,Data Engineer,none,proficient,competent,expert,none,none,competent,competent,competent,proficient,none,1,Database C,Platform A,Platform A,Platform A;Platform C,Platform A;Platform D;Platform C,Platform D;Platform B,Platform D;Platform C,cmandrakee1@ihg.com
3/7/2020 12:59:25,ebignalle5@instagram.com,Philippines,Software Engineer,none,beginner,expert,proficient,proficient,expert,expert,competent,none,beginner,beginner,2,Database E,Platform D,Platform A;Platform B,Platform A;Platform C,Platform D;Platform B,Platform B;Platform C,Platform C,ebignalle5@instagram.com
5/5/2020 5:40:25,dhaskette9@narod.ru,France,Data Engineer,none,beginner,none,none,competent,beginner,competent,beginner,competent,expert,none,4,Database B,Platform A,Platform A;Platform B,Platform B Platform C,Platform B,Platform A;Platform B;Platform C,Platform C,dhaskette9@narod.ru
12/4/2020 8:56:37,nrobetea@mayoclinic.com,China,Data Scientist,proficient,beginner,beginner,expert,competent,competent,expert,proficient,competent,competent,beginner,2,Database B;Database E,Platform D,Platform B,Platform A,Platform C,"Platform A;Platform D,Platform B",Platform D;Platform C,nrobetea@mayoclinic.com
1/28/2020 22:01:25,kcollymoreec@economist.com,Madagascar,Data Analyst,competent,expert,expert,proficient,beginner,expert,competent,proficient,proficient,expert,competent,1,Database B;Database A;Database D,Platform D,Platform A,Platform A;Platform B,Platform C,Platform A;Platform B;Platform C,Platform A,kcollymoreec@economist.com
11/16/2020 4:59:55,rrickellek@behance.net,Russia,Data Scientist,expert,beginner,competent,none,competent,expert,proficient,beginner,proficient,competent,competent,3,Database B;Database E,Platform B,Platform A;Platform B;Platform C,Platform B Platform C,Platform B;Platform C,"Platform A;Platform D,Platform B",Platform C,rrickellek@behance.net
2/28/2020 1:02:22,cwillattseo@i2i.jp,Brazil,Data Engineer,expert,none,none,none,beginner,expert,none,competent,proficient,expert,proficient,1,Database E,Platform C,Platform B;Platform C,Platform A;Platform B,Platform D;Platform B,Platform A;Platform B;Platform C,Platform B;Platform C,cwillattseo@i2i.jp
12/6/2020 11:28:25,theeleyev@discovery.com,Indonesia,Data Scientist,competent,beginner,expert,expert,proficient,proficient,none,expert,expert,none,none,3,Database A,Platform A,Platform B;Platform C,Platform C,Platform D;Platform B,Platform D;Platform C,Platform A,theeleyev@discovery.com
4/9/2020 17:21:13,cnickersonew@tinyurl.com,Philippines,Data Scientist,proficient,proficient,expert,competent,expert,competent,expert,expert,none,competent,expert,4,Database B;Database A;Database D,Platform C,Platform C,Platform C,Platform C,Platform B,Platform A;Platform B;Platform C,cnickersonew@tinyurl.com
12/8/2020 15:26:46,ephilpottf8@wufoo.com,Portugal,Product/Project Manager,beginner,proficient,none,none,beginner,expert,expert,proficient,beginner,none,expert,2,Database B,Platform C,Platform A;Platform C,Platform A;Platform B;Platform C,Platform D;Platform C,Platform A;Platform B;Platform C,Platform B,ephilpottf8@wufoo.com
8/31/2020 20:15:24,pthompsonfd@360.cn,Vietnam,Product/Project Manager,proficient,competent,expert,expert,proficient,none,none,expert,expert,none,expert,2,Database B,Platform A,Platform A,Platform A;Platform B;Platform C,Platform D,Platform C,Platform C,pthompsonfd@360.cn
4/10/2020 5:34:19,lbrunonfn@reuters.com,Democratic Republic of the Congo,Citizen Data Scientist,competent,none,proficient,beginner,none,none,competent,proficient,expert,beginner,beginner,2,Database C,Platform D,Platform C,Platform B Platform C,Platform C,Platform A,Platform A;Platform B;Platform C,lbrunonfn@reuters.com
2/12/2020 17:26:52,tmacmorlandfo@seesaa.net,Bahamas,Software Engineer,none,beginner,expert,none,expert,proficient,expert,proficient,beginner,expert,competent,2,Database B,Platform B,Platform A;Platform B,Platform B Platform C,Platform B;Platform C,"Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,tmacmorlandfo@seesaa.net
11/4/2020 10:00:05,cseerfv@fc2.com,Vietnam,Data Engineer,proficient,competent,proficient,proficient,proficient,proficient,beginner,beginner,proficient,expert,competent,2,Database C,Platform D,Platform A;Platform B,Platform A;Platform B;Platform C,Platform C,Platform D;Platform C,Platform B;Platform C,cseerfv@fc2.com
7/8/2020 20:33:45,egawneg3@spotify.com,Indonesia,Citizen Data Scientist,none,proficient,expert,expert,competent,expert,proficient,proficient,expert,beginner,beginner,4,Database A,Platform D,Platform A;Platform B;Platform C,Platform A;Platform B,Platform A;Platform B;Platform C,Platform B,Platform B;Platform C,egawneg3@spotify.com
2/16/2020 16:17:44,dbanaszczykgb@linkedin.com,Greece,Data Analyst,beginner,beginner,expert,competent,proficient,competent,expert,none,competent,expert,expert,4,Database B;Database E,Platform D,Platform A;Platform B;Platform C,Platform A,"Platform A;Platform D,Platform B","Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,dbanaszczykgb@linkedin.com
5/9/2020 16:58:38,hperillioge@imdb.com,China,Software Engineer,beginner,proficient,beginner,beginner,expert,expert,beginner,beginner,expert,competent,proficient,1,Database B;Database E,Platform D,Platform A;Platform B;Platform C,Platform A;Platform B,Platform D;Platform C,Platform A,Platform A;Platform D;Platform C,hperillioge@imdb.com
9/22/2020 14:21:31,wbidmeadgf@jalbum.net,Chile,Data Engineer,none,competent,none,none,expert,beginner,proficient,beginner,expert,proficient,proficient,2,Database C,Platform A,Platform A;Platform B,Platform C,Platform D;Platform B,Platform B;Platform C,Platform B,wbidmeadgf@jalbum.net
8/20/2020 23:43:37,sconleygj@unc.edu,China,Data Analyst,none,beginner,beginner,beginner,competent,beginner,expert,proficient,expert,competent,proficient,5,Database A,Platform D,Platform B,Platform A;Platform B,Platform C,Platform C,Platform C,sconleygj@unc.edu
1/23/2020 9:45:35,eportsmouthgk@360.cn,Canada,Data Analyst,proficient,expert,competent,proficient,proficient,competent,none,proficient,competent,none,expert,3,Database C,Platform D,Platform A;Platform C,Platform B Platform C,Platform D;Platform C,Platform D,"Platform A;Platform D,Platform B",eportsmouthgk@360.cn
3/9/2020 12:06:24,srosenthalergx@java.com,Ethiopia,Citizen Data Scientist,beginner,none,beginner,expert,none,expert,beginner,competent,competent,expert,none,1,Database D,Platform A,Platform C,Platform A,Platform B;Platform C,Platform C,Platform A;Platform D;Platform C,srosenthalergx@java.com
6/7/2020 9:07:10,jreynoldsh6@163.com,China,Data Scientist,beginner,expert,expert,proficient,proficient,none,proficient,competent,expert,beginner,beginner,4,Database D,Platform B,Platform A;Platform B;Platform C,Platform A;Platform B,Platform D;Platform B,"Platform A;Platform D,Platform B",Platform D;Platform B,jreynoldsh6@163.com
7/19/2020 20:16:27,sgluyush7@yellowpages.com,China,Data Analyst,proficient,none,proficient,proficient,none,proficient,proficient,competent,proficient,proficient,competent,1,Database C,Platform D,Platform B;Platform C,Platform C,Platform D;Platform C,Platform B,Platform A;Platform B;Platform C,sgluyush7@yellowpages.com
11/26/2020 16:53:38,npoolehe@ucsd.edu,Czech Republic,Data Analyst,competent,beginner,none,competent,beginner,proficient,beginner,competent,beginner,expert,competent,1,Database D,Platform C,Platform B;Platform C,Platform C,"Platform A;Platform D,Platform B",Platform B,Platform D,npoolehe@ucsd.edu
4/20/2020 12:54:50,warguilehg@buzzfeed.com,United States,Product/Project Manager,none,none,competent,expert,competent,expert,competent,competent,expert,competent,competent,4,Database C,Platform B,Platform A;Platform C,Platform B,Platform C,Platform D;Platform C,Platform A,warguilehg@buzzfeed.com
6/8/2020 17:42:50,jranyardhm@furl.net,Portugal,Product/Project Manager,beginner,competent,beginner,none,none,competent,competent,competent,expert,expert,proficient,3,Database C,Platform D,Platform A;Platform B,Platform B,Platform B;Platform C,Platform A;Platform D;Platform C,Platform A;Platform D;Platform C,jranyardhm@furl.net
8/23/2020 4:15:50,gkleanthousho@mediafire.com,Uzbekistan,Data Engineer,expert,competent,expert,none,expert,none,expert,none,beginner,beginner,expert,5,Database E,Platform A,Platform C,Platform A,Platform D;Platform B,Platform B,Platform D;Platform B,gkleanthousho@mediafire.com
9/4/2020 10:46:38,aaldgatehs@weebly.com,Sri Lanka,Citizen Data Scientist,none,proficient,competent,proficient,none,competent,beginner,none,proficient,beginner,proficient,5,Database C,Platform B,Platform C,Platform B,"Platform A;Platform D,Platform B","Platform A;Platform D,Platform B",Platform C,aaldgatehs@weebly.com
7/30/2020 18:06:54,mledbetterht@hp.com,Greece,Data Analyst,competent,competent,competent,competent,none,proficient,expert,proficient,none,beginner,proficient,1,Database B;Database E,Platform B,Platform B;Platform C,Platform B,Platform D;Platform C,"Platform A;Platform D,Platform B",Platform B,mledbetterht@hp.com
7/3/2020 21:04:32,tplaylehw@mail.ru,Poland,Product/Project Manager,none,none,expert,competent,competent,none,beginner,expert,proficient,proficient,competent,2,Database A,Platform C,Platform B,Platform A,Platform D;Platform B,"Platform A;Platform D,Platform B",Platform B,tplaylehw@mail.ru
8/28/2020 2:54:18,pkoenraadi1@va.gov,Sweden,Data Scientist,beginner,expert,competent,proficient,expert,proficient,competent,expert,proficient,competent,beginner,2,Database E,Platform C,Platform A,Platform A;Platform B,"Platform A;Platform D,Platform B",Platform A;Platform D;Platform C,Platform D;Platform B,pkoenraadi1@va.gov
9/16/2020 8:43:55,kparmeteri4@reference.com,China,Data Analyst,proficient,none,proficient,proficient,beginner,beginner,beginner,none,proficient,beginner,beginner,5,Database B;Database E,Platform B,Platform A;Platform B,Platform B Platform C,Platform A;Platform B;Platform C,Platform A,Platform D,kparmeteri4@reference.com
8/9/2020 22:16:08,eeveleighi8@booking.com,Syria,Data Engineer,beginner,competent,proficient,none,none,expert,none,competent,proficient,beginner,none,5,Database D,Platform A,Platform A;Platform B;Platform C,Platform B,Platform A;Platform B;Platform C,Platform D;Platform B,Platform C,eeveleighi8@booking.com
6/30/2020 23:43:32,ssmoughtonib@last.fm,Indonesia,Software Engineer,none,proficient,competent,competent,competent,expert,competent,none,none,proficient,none,5,Database D,Platform A,Platform A;Platform B;Platform C,Platform A;Platform B,Platform A;Platform D;Platform C,Platform D;Platform C,Platform D,ssmoughtonib@last.fm
8/27/2020 19:40:55,lfriie@nydailynews.com,China,Citizen Data Scientist,competent,expert,none,none,proficient,proficient,beginner,expert,competent,competent,expert,5,Database B;Database A;Database D,Platform C,Platform B,Platform B Platform C,Platform D,Platform B;Platform C,Platform A;Platform B;Platform C,lfriie@nydailynews.com
10/27/2020 22:44:00,swattonig@merriam-webster.com,China,Product/Project Manager,none,beginner,none,competent,none,expert,expert,none,proficient,expert,none,3,Database A,Platform C,Platform A;Platform C,Platform B,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,Platform A,swattonig@merriam-webster.com
10/30/2020 15:19:24,lraspisonih@desdev.cn,Peru,Data Engineer,competent,competent,competent,competent,beginner,expert,competent,beginner,expert,expert,beginner,1,Database E,Platform D,Platform B;Platform C,Platform A,Platform D,Platform D;Platform B,Platform D;Platform C,lraspisonih@desdev.cn
6/15/2020 12:56:29,csharplinim@de.vu,Venezuela,Data Engineer,expert,beginner,expert,none,beginner,proficient,none,none,none,beginner,none,1,Database E,Platform A,Platform A,Platform A,Platform D;Platform B,"Platform A;Platform D,Platform B",Platform B;Platform C,csharplinim@de.vu
3/4/2020 17:35:46,mfleetin@trellian.com,Uruguay,Citizen Data Scientist,none,competent,proficient,expert,proficient,none,proficient,beginner,none,expert,proficient,5,Database E,Platform D,Platform A;Platform B,Platform A;Platform B,Platform B,Platform C,Platform A;Platform B;Platform C,mfleetin@trellian.com
11/27/2020 10:02:32,jronchettiiz@zimbio.com,Poland,Data Engineer,beginner,proficient,proficient,expert,expert,none,competent,expert,competent,competent,expert,1,Database B;Database E,Platform B,Platform B;Platform C,Platform A;Platform B,Platform B;Platform C,Platform D;Platform C,Platform A,jronchettiiz@zimbio.com
11/20/2020 10:36:23,fbellordj3@ameblo.jp,China,Data Engineer,beginner,proficient,beginner,expert,proficient,beginner,competent,none,none,none,expert,2,Database B,Platform C,Platform A,Platform B Platform C,Platform A,Platform D;Platform C,Platform B,fbellordj3@ameblo.jp
3/13/2020 0:09:03,nmacdonaghj4@webeden.co.uk,Indonesia,Data Analyst,none,none,beginner,competent,expert,competent,beginner,proficient,competent,competent,beginner,3,Database E,Platform B,Platform C,Platform C,Platform B;Platform C,Platform A,"Platform A;Platform D,Platform B",nmacdonaghj4@webeden.co.uk
7/29/2020 7:49:27,vclinningj6@seattletimes.com,China,Software Engineer,beginner,none,proficient,beginner,beginner,competent,expert,beginner,competent,proficient,beginner,4,Database B,Platform A,Platform A;Platform B,Platform A;Platform B;Platform C,Platform A;Platform D;Platform C,Platform A;Platform B;Platform C,Platform A;Platform B;Platform C,vclinningj6@seattletimes.com
5/16/2020 10:45:44,amattinglyj9@ycombinator.com,Indonesia,Data Engineer,competent,none,competent,expert,proficient,beginner,competent,competent,expert,beginner,competent,4,Database B;Database A;Database D,Platform D,Platform A;Platform C,Platform C,Platform A;Platform D;Platform C,Platform A;Platform B;Platform C,"Platform A;Platform D,Platform B",amattinglyj9@ycombinator.com
8/20/2020 2:20:59,zworksjh@hibu.com,China,Product/Project Manager,proficient,expert,expert,expert,competent,none,competent,expert,none,expert,expert,1,Database C,Platform C,Platform B,Platform B,Platform A;Platform D;Platform C,Platform D;Platform B,Platform A;Platform D;Platform C,zworksjh@hibu.com
7/30/2020 16:23:52,jbalazsjp@miibeian.gov.cn,Iran,Data Scientist,proficient,none,competent,proficient,none,none,expert,proficient,none,beginner,competent,3,Database C,Platform B,Platform A;Platform C,Platform B Platform C,Platform A;Platform B;Platform C,"Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,jbalazsjp@miibeian.gov.cn
9/22/2020 11:18:26,mplaisterjw@prweb.com,France,Product/Project Manager,competent,none,beginner,proficient,expert,competent,competent,none,expert,beginner,expert,2,Database D,Platform A,Platform A;Platform C,Platform A,Platform D;Platform C,Platform A;Platform D;Platform C,Platform D;Platform B,mplaisterjw@prweb.com
6/3/2020 1:13:15,sdemongejx@globo.com,Finland,Product/Project Manager,proficient,beginner,beginner,expert,competent,none,expert,beginner,proficient,competent,beginner,3,Database A,Platform D,Platform A;Platform C,Platform C,Platform D,Platform C,Platform A;Platform D;Platform C,sdemongejx@globo.com
6/15/2020 11:27:53,apaikjy@bizjournals.com,Indonesia,Data Engineer,expert,competent,expert,beginner,competent,proficient,none,competent,none,none,expert,3,Database B,Platform A,Platform B,Platform A;Platform C,Platform B,Platform C,Platform A;Platform D;Platform C,apaikjy@bizjournals.com
3/3/2020 20:01:03,lmurpheyk0@instagram.com,Sweden,Product/Project Manager,proficient,expert,beginner,beginner,proficient,none,none,competent,competent,beginner,proficient,2,Database C,Platform D,Platform B;Platform C,Platform A;Platform C,Platform D;Platform C,Platform D;Platform C,Platform B;Platform C,lmurpheyk0@instagram.com
3/24/2020 21:20:54,kjoplingk2@cdc.gov,United States,Software Engineer,none,beginner,competent,expert,proficient,expert,beginner,expert,beginner,none,none,3,Database B;Database E,Platform B,Platform A;Platform C,Platform C,Platform B;Platform C,Platform A;Platform B;Platform C,Platform B;Platform C,kjoplingk2@cdc.gov
8/14/2020 8:48:21,lclifforthk5@google.cn,Indonesia,Software Engineer,competent,competent,expert,expert,expert,beginner,none,proficient,beginner,competent,none,2,Database B;Database E,Platform B,Platform A,Platform B,"Platform A;Platform D,Platform B",Platform D;Platform B,Platform C,lclifforthk5@google.cn
9/5/2020 23:34:20,lbaneskc@theatlantic.com,Poland,Data Analyst,competent,competent,competent,expert,beginner,proficient,proficient,beginner,expert,none,competent,3,Database E,Platform A,Platform B,Platform B,Platform A;Platform B;Platform C,Platform D;Platform C,Platform A;Platform D;Platform C,lbaneskc@theatlantic.com
9/6/2020 13:03:16,dpetzoltkl@youtu.be,Poland,Data Analyst,beginner,proficient,competent,expert,beginner,expert,expert,expert,none,proficient,none,4,Database C,Platform D,Platform A;Platform B;Platform C,Platform B Platform C,Platform A;Platform D;Platform C,"Platform A;Platform D,Platform B",Platform D;Platform C,dpetzoltkl@youtu.be
11/28/2020 8:50:45,bquixleykn@printfriendly.com,Palau,Software Engineer,expert,none,beginner,beginner,beginner,expert,expert,proficient,none,beginner,expert,4,Database C,Platform B,Platform C,Platform B,Platform A;Platform B;Platform C,Platform D;Platform B,Platform D,bquixleykn@printfriendly.com
10/21/2020 18:56:33,dclemenceku@shop-pro.jp,Poland,Data Engineer,competent,none,beginner,beginner,proficient,proficient,none,expert,proficient,none,expert,3,Database E,Platform D,Platform A;Platform B,Platform A;Platform B;Platform C,Platform B;Platform C,Platform A;Platform D;Platform C,Platform A,dclemenceku@shop-pro.jp
10/13/2020 13:08:37,jjeppskv@ning.com,France,Data Scientist,beginner,competent,beginner,beginner,proficient,beginner,none,proficient,proficient,competent,proficient,4,Database D,Platform A,Platform B,Platform C,Platform D,Platform A,Platform B,jjeppskv@ning.com
5/5/2020 19:37:43,hrollingsl3@netvibes.com,Russia,Data Analyst,beginner,beginner,competent,proficient,none,none,beginner,expert,beginner,none,beginner,4,Database B;Database A;Database D,Platform C,Platform A,Platform B Platform C,Platform A,"Platform A;Platform D,Platform B",Platform D,hrollingsl3@netvibes.com
4/18/2020 3:22:50,amullinl8@ameblo.jp,Russia,Data Analyst,expert,expert,competent,none,competent,proficient,proficient,expert,none,none,beginner,1,Database E,Platform A,Platform B;Platform C,Platform A;Platform B;Platform C,Platform B;Platform C,Platform D,Platform D;Platform B,amullinl8@ameblo.jp
4/30/2020 17:01:18,kmccumskayl9@senate.gov,Poland,Software Engineer,none,none,expert,expert,proficient,beginner,beginner,none,proficient,beginner,competent,1,Database C,Platform C,Platform A;Platform B;Platform C,Platform A;Platform B,Platform C,Platform A;Platform D;Platform C,Platform D,kmccumskayl9@senate.gov
6/1/2020 14:18:27,rstopforthlb@sun.com,Tanzania,Software Engineer,expert,proficient,none,expert,competent,competent,expert,proficient,beginner,expert,none,3,Database B,Platform C,Platform B;Platform C,Platform A;Platform B;Platform C,Platform B;Platform C,Platform B,Platform A,rstopforthlb@sun.com
4/4/2020 18:54:57,bhayesld@gravatar.com,Macedonia,Product/Project Manager,competent,expert,expert,expert,expert,competent,beginner,competent,none,none,proficient,2,Database B,Platform D,Platform A;Platform B;Platform C,Platform B,Platform A,Platform C,"Platform A;Platform D,Platform B",bhayesld@gravatar.com
6/1/2020 6:42:32,ebuxcylk@wufoo.com,Russia,Data Scientist,proficient,none,expert,beginner,proficient,competent,expert,proficient,beginner,beginner,competent,2,Database B,Platform A,Platform B,Platform A;Platform B;Platform C,Platform B,Platform D,Platform A,ebuxcylk@wufoo.com
9/5/2020 2:36:37,csoggll@cpanel.net,Israel,Citizen Data Scientist,,none,expert,,proficient,competent,beginner,proficient,,competent,proficient,,Database C,Platform D,Platform B,,Platform D;Platform C,,Platform A;Platform D;Platform C,csoggll@cpanel.net
8/13/2020 4:30:49,dbrigglm@odnoklassniki.ru,Brazil,Data Analyst,proficient,proficient,beginner,beginner,expert,proficient,competent,expert,none,expert,none,2,Database D,Platform D,Platform A,Platform A;Platform B;Platform C,"Platform A;Platform D,Platform B",Platform A;Platform B;Platform C,Platform B;Platform C,dbrigglm@odnoklassniki.ru
8/24/2020 19:29:16,ogoboloslq@histats.com,Sweden,Citizen Data Scientist,expert,expert,proficient,competent,expert,none,beginner,proficient,proficient,beginner,proficient,4,Database B;Database A;Database D,Platform A,Platform B;Platform C,Platform A;Platform C,Platform C,Platform A;Platform B;Platform C,Platform D;Platform C,ogoboloslq@histats.com
5/4/2020 8:09:31,ipatenm3@latimes.com,Spain,Data Scientist,expert,none,competent,competent,expert,none,competent,beginner,none,none,none,4,Database B;Database A;Database D,Platform A,Platform A;Platform B;Platform C,Platform B,Platform A;Platform B;Platform C,Platform D,Platform B,ipatenm3@latimes.com
9/19/2020 23:12:21,zcarmanma@tumblr.com,Paraguay,Product/Project Manager,beginner,beginner,beginner,proficient,proficient,expert,expert,competent,expert,proficient,proficient,1,Database B,Platform B,Platform A;Platform C,Platform C,Platform A;Platform B;Platform C,Platform D;Platform B,Platform B;Platform C,zcarmanma@tumblr.com
